"id","date_collected","retailer_type","retailer_detail","food_type","food_detail","label_type","label_language","label_date","approximate_dollar_value","image_id","collection_lat","collection_long","label_explanation"
"5fb84674797bb408d1ba2b90","2020-10-29","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-10-28","1.89","IMG_3965","40.69415","-73.99233",""
"5fb8469f797bb408d1ba2b91","2020-10-29","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-10-29","1.89","IMG_3966","40.69415","-73.99233",""
"5fb846ac797bb408d1ba2b92","2020-10-29","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-10-29","1.89","IMG_3967","40.69415","-73.99233",""
"5fb846bc797bb408d1ba2b93","2020-10-29","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-10-23","1.89","IMG_3968","40.69415","-73.99233",""
"5fc3f347e12e1aa995d0b3ff","2020-11-20","chain grocer","ready-to-eat, shelf-stable, frozen, and perishable food","perishable","california roll sushi","sticker","sell thru","2020-11-19","5.95","IMG_3969","40.69789","-73.99267",""
"5fc3f396e12e1aa995d0b400","2020-11-20","chain grocer","ready-to-eat, shelf-stable, frozen, and perishable food","perishable","vegetable roll sushi","sticker","sell thru","2020-11-19","5.95","IMG_3970","40.69789","-73.99267",""
"5fc3f403e12e1aa995d0b401","2020-11-20","chain grocer","ready-to-eat, shelf-stable, frozen, and perishable food","perishable","lobster roll sushi","sticker","sell thru","2020-11-19","6.95","IMG_3977","40.69789","-73.99267",""
"5fc3f4d1e12e1aa995d0b402","2020-11-20","chain grocer","ready-to-eat, shelf-stable, frozen, and perishable food","perishable","rainbow roll sushi","sticker","sell thru","2020-11-20","12.95","IMG_3971","40.69789","-73.99267",""
"5fc3f522e12e1aa995d0b403","2020-11-20","chain grocer","ready-to-eat, shelf-stable, frozen, and perishable food","perishable","california roll sushi","sticker","sell thru","2020-11-19","5.95","IMG_3972","40.69789","-73.99267",""
"5fc3f54ce12e1aa995d0b404","2020-11-20","chain grocer","ready-to-eat, shelf-stable, frozen, and perishable food","perishable","crab & avocado brown roll sushi","sticker","sell thru","2020-11-19","5.95","IMG_3973","40.69789","-73.99267",""
"5fc3f672e12e1aa995d0b405","2020-11-20","chain grocer","ready-to-eat, shelf-stable, frozen, and perishable food","perishable","shrimp california roll sushi","sticker","sell thru","2020-11-19","6.95","IMG_3974","40.69789","-73.99267",""
"5fc3f687e12e1aa995d0b406","2020-11-20","chain grocer","ready-to-eat, shelf-stable, frozen, and perishable food","perishable","california roll sushi","sticker","sell thru","2020-11-19","5.95","IMG_3975","40.69789","-73.99267",""
"5fc3f696e12e1aa995d0b407","2020-11-20","chain grocer","ready-to-eat, shelf-stable, frozen, and perishable food","perishable","california roll sushi","sticker","sell thru","2020-11-19","5.95","IMG_3976","40.69789","-73.99267",""
"5fc3f9d2e12e1aa995d0b408","2020-11-20","chain grocer","ready-to-eat, shelf-stable, frozen, and perishable food","perishable","usda choice hereford small diced beef","sticker","sell by","2020-11-20","4.67","IMG_3978","40.69789","-73.99267",""
"5fc3fa91e12e1aa995d0b409","2020-11-20","chain grocer","ready-to-eat, shelf-stable, frozen, and perishable food","perishable","round bone lamb shoulder chops","sticker","sell by","2020-11-21","6.63","IMG_3979","40.69789","-73.99267",""
"5fc3fbf5e12e1aa995d0b40a","2020-11-20","chain grocer","ready-to-eat, shelf-stable, frozen, and perishable food","perishable","dark chocolate hummus","sticker","","2020-11-20","3.99","IMG_3980","40.69789","-73.99267",""
